time	V(cap)	V(logic)	V(signal_in)	V(signal_out)
6.304284201627287e-005	-6.501992e-001	1.000000e+000	-7.277485e-001	-7.236356e-001
6.354507415913003e-005	-7.797859e-001	1.000000e+000	-8.570420e-001	-8.529450e-001
6.404730630198717e-005	-9.090605e-001	1.000000e+000	-9.859701e-001	-9.818919e-001
6.525266344484433e-005	-1.218952e+000	1.000000e+000	-1.294798e+000	-1.290777e+000
6.645802058770150e-005	-1.521134e+000	1.000000e+000	-1.595634e+000	-1.591685e+000
6.766337773055866e-005	-1.815607e+000	1.000000e+000	-1.888478e+000	-1.884617e+000
6.886873487341583e-005	-2.102371e+000	1.000000e+000	-2.173330e+000	-2.169571e+000
7.007409201627299e-005	-2.381427e+000	1.000000e+000	-2.450190e+000	-2.446548e+000
7.127944915913016e-005	-2.652773e+000	1.000000e+000	-2.719058e+000	-2.715549e+000
7.248480630198731e-005	-2.916410e+000	1.000000e+000	-2.979934e+000	-2.976572e+000
7.500000100000000e-005	-3.422552e+000	1.000000e+000	-3.479564e+000	-3.476549e+000
7.500000110000001e-005	-3.422552e+000	9.000000e-001	-3.479564e+000	-3.476549e+000
7.500000130000000e-005	-3.422552e+000	7.000000e-001	-3.479564e+000	-3.476549e+000
7.500000170000000e-005	-3.422552e+000	3.000000e-001	-3.479564e+000	-3.476549e+000
7.500000200000000e-005	-3.422552e+000	3.995803e-009	-3.479564e+000	-3.476548e+000
7.500000208000000e-005	-3.422552e+000	1.331934e-009	-3.479564e+000	-3.476547e+000
7.500000224000000e-005	-3.422552e+000	0.000000e+000	-3.479564e+000	-3.476547e+000
7.500000255999999e-005	-3.422552e+000	0.000000e+000	-3.479564e+000	-3.476546e+000
7.500000319999999e-005	-3.422552e+000	0.000000e+000	-3.479565e+000	-3.476544e+000
7.500000447999998e-005	-3.422552e+000	0.000000e+000	-3.479565e+000	-3.476539e+000
7.500000703999998e-005	-3.422552e+000	0.000000e+000	-3.479565e+000	-3.476531e+000
7.500001215999996e-005	-3.422552e+000	0.000000e+000	-3.479566e+000	-3.476513e+000
7.500002239999991e-005	-3.422552e+000	0.000000e+000	-3.479568e+000	-3.476479e+000
7.500004287999982e-005	-3.422552e+000	0.000000e+000	-3.479572e+000	-3.476409e+000
7.500008383999966e-005	-3.422552e+000	0.000000e+000	-3.479580e+000	-3.476271e+000
7.500016575999933e-005	-3.422552e+000	0.000000e+000	-3.479595e+000	-3.475996e+000
7.500032959999868e-005	-3.422552e+000	0.000000e+000	-3.479626e+000	-3.475450e+000
7.500065727999738e-005	-3.422552e+000	0.000000e+000	-3.479687e+000	-3.474380e+000
7.500131263999475e-005	-3.422553e+000	0.000000e+000	-3.479810e+000	-3.472319e+000
7.500262335998952e-005	-3.422553e+000	0.000000e+000	-3.480055e+000	-3.468493e+000
7.500524479997904e-005	-3.422553e+000	0.000000e+000	-3.480546e+000	-3.461865e+000
7.501048767995809e-005	-3.422553e+000	0.000000e+000	-3.481527e+000	-3.451750e+000
7.502097343991620e-005	-3.422554e+000	0.000000e+000	-3.483489e+000	-3.439332e+000
7.504194495983240e-005	-3.422558e+000	0.000000e+000	-3.487408e+000	-3.428622e+000
7.508388799966481e-005	-3.422570e+000	0.000000e+000	-3.495233e+000	-3.423312e+000
7.514759924401249e-005	-3.422598e+000	0.000000e+000	-3.507089e+000	-3.422652e+000
7.521209043464137e-005	-3.422634e+000	0.000000e+000	-3.519052e+000	-3.422782e+000
7.529525981037751e-005	-3.422684e+000	0.000000e+000	-3.534418e+000	-3.422820e+000
7.539235427646056e-005	-3.422745e+000	0.000000e+000	-3.552266e+000	-3.422894e+000
7.553911510497496e-005	-3.422843e+000	0.000000e+000	-3.579043e+000	-3.422997e+000
